key,en,he,context,notes
fontmaker.qa.buildcheck_title,Yiddish / Ladino composed forms — build check,,QA build-check title,
fontmaker.qa.no_marks,No {kind} marks are enabled for this font.,,QA empty state,
fontmaker.qa.notready.one,{count} composed form not yet ready — see the build check below.,,QA summary,plural
fontmaker.qa.notready.other,{count} composed forms not yet ready — see the build check below.,,QA summary,plural
fontmaker.qa.outline_warn.one,⚠ {count} glyph with self-intersecting or overlapping outlines: {names}. These can fill incorrectly (inverted) in some apps — edit the nodes or re-trace to fix.,,QA summary,plural; leading-emoji
fontmaker.qa.outline_warn.other,⚠ {count} glyphs with self-intersecting or overlapping outlines: {names}. These can fill incorrectly (inverted) in some apps — edit the nodes or re-trace to fix.,,QA summary,plural; leading-emoji
fontmaker.qa.pair_hint,"Red = the two marks' ink overlaps. Same-class pairs (e.g. two below-vowels) share one anchor, so they always overlap — that's expected. Cross-class clashes (e.g. a raised dagesh meeting an above-vowel) are real and fixable by moving an anchor.",,QA pair control,
fontmaker.qa.pair_stack,Stack,,QA pair control label,
fontmaker.qa.pair_with,"with every other mark, on each letter.",,QA pair control,
fontmaker.qa.section_custom,Custom glyphs,,QA section header,
fontmaker.qa.section_special,Specialized (wide letters),,QA section header,
fontmaker.qa.summary_clear,✓ All placements clear. Hover a cell for details; click any cell to jump to its anchor editor.,,QA summary,leading-emoji
fontmaker.qa.summary_needs.one,{count} placement needs attention (red cells). Hover for the reason; click a cell to jump to its anchor editor.,,QA summary,plural
fontmaker.qa.summary_needs.other,{count} placements need attention (red cells). Hover for the reason; click a cell to jump to its anchor editor.,,QA summary,plural
fontmaker.qa.tab_nikkud,Nikkud,,QA tab,
fontmaker.qa.tab_pairs,Two marks,,QA tab,
fontmaker.qa.tab_stacked,Stacked,,QA tab,
fontmaker.qa.tab_trop,Trop,,QA tab,
fontmaker.qa.tall_warn,⚠ Tall artwork — export will expand the clip box to {asc} / {desc} (asc/desc) so Word won't clip it.,,QA summary,leading-emoji
fontmaker.status.added_custom_glyph,Added custom glyph U+{cp}.,,toast,
fontmaker.status.added_pairs.one,Added {count} pair at an even starting gap — fine-tune any.,,toast,plural
fontmaker.status.added_pairs.other,Added {count} pairs at an even starting gap — fine-tune any.,,toast,plural
fontmaker.status.applied_alignment.one,Applied alignment to {count} letter.,,toast,plural
fontmaker.status.applied_alignment.other,Applied alignment to {count} letters.,,toast,plural
fontmaker.status.applied_nikkud.one,Applied nikkud positioning to {count} letter.,,toast,plural
fontmaker.status.applied_nikkud.other,Applied nikkud positioning to {count} letters.,,toast,plural
fontmaker.status.area_selected,"{name}: area selected — align, then trace.",,toast,
fontmaker.status.assigned_letters.one,"Assigned {count} letter from the sheet — open each to align, then trace. Box any others by hand.",,toast,plural
fontmaker.status.assigned_letters.other,"Assigned {count} letters from the sheet — open each to align, then trace. Box any others by hand.",,toast,plural
fontmaker.status.autoassigned_svg.one,Auto-assigned {count} letter from named SVG elements.,,toast,plural
fontmaker.status.autoassigned_svg.other,Auto-assigned {count} letters from named SVG elements.,,toast,plural
fontmaker.status.box_others,Box any others by hand.,,toast fragment,
fontmaker.status.building_font,Building font…,,toast,
fontmaker.status.building_font_preview,Building font for preview…,,toast,
fontmaker.status.building_preview_pdf,Building preview PDF…,,toast,
fontmaker.status.building_template,Building {title} template…,,toast,
fontmaker.status.building_ufo,Building UFO…,,toast,
fontmaker.status.compressing_woff2,Compressing WOFF2…,,toast,
fontmaker.status.converted_main,Converted U+{cp} to a main glyph — set its width under Letter Metrics.,,toast,
fontmaker.status.copied_contours.one,Copied {count} contour — open another letter's Edit points and press {mod}+V.,,toast,plural
fontmaker.status.copied_contours.other,Copied {count} contours — open another letter's Edit points and press {mod}+V.,,toast,plural
fontmaker.status.copied_outline,Copied outline from {name} — reshape it with “✎ Edit points”.,,toast,
fontmaker.status.copy_min_points,Select at least 3 points on a contour to copy.,,toast,
fontmaker.status.crop_box_help,Crop box — arrows move · +/− resize · Enter to crop · Esc to cancel.,,toast,
fontmaker.status.deleted_contours.one,Deleted {count} contour.,,toast,plural
fontmaker.status.deleted_contours.other,Deleted {count} contours.,,toast,plural
fontmaker.status.deleted_custom_glyph,Deleted custom glyph U+{cp}.,,toast,
fontmaker.status.detecting_letters,Detecting letters…,,toast,
fontmaker.status.drew_contour,Drew a {count}-point contour.,,toast,
fontmaker.status.drew_contour_hole,"It landed inside another contour, so it punched out as a hole.",,toast fragment,
fontmaker.status.engine_ready,Font engine ready.,,toast,
fontmaker.status.export_no_wasm,Heads up: this browser may not support font export (needs WASM + FontFace).,,toast,
fontmaker.status.exported_ttf,Exported {name}.ttf ✓,,toast,leading-emoji
fontmaker.status.exported_ttf_skipped,Exported {name}.ttf (shaping check skipped),,toast,
fontmaker.status.exported_ufo,"Exported {name}.ufo.zip ✓ (UFO source — cubic curves, anchors & features.fea)",,toast,leading-emoji
fontmaker.status.exported_woff2,Exported {name}.woff2 ✓,,toast,leading-emoji
fontmaker.status.exported_zip,Exported {name}.zip ✓ (TTF + WOFF2 + @font-face CSS + LICENSE),,toast,leading-emoji
fontmaker.status.font_read_fail,Could not read that font file.,,toast,
fontmaker.status.give_class_name,Give the class a name.,,toast,
fontmaker.status.import_anchors_auto,Anchors placed automatically (couldn't read the font's).,,toast fragment,
fontmaker.status.import_anchors_none,No anchor data in the font — anchors placed automatically.,,toast fragment,
fontmaker.status.import_anchors_ok.one,"Anchors imported for {count} letter — fix any that look off, then export.",,toast fragment,plural
fontmaker.status.import_anchors_ok.other,"Anchors imported for {count} letters — fix any that look off, then export.",,toast fragment,plural
fontmaker.status.import_kept_outlines,Kept your current outlines.,,toast,
fontmaker.status.import_loaded_letters,Loaded {n}/27 letters from {file}.,,toast,
fontmaker.status.import_no_marks,(No mark glyphs found to import.),,toast fragment,
fontmaker.status.import_replaced_marks.one,Replaced {count} nikkud/trop mark shape.,,toast fragment,plural
fontmaker.status.import_replaced_marks.other,Replaced {count} nikkud/trop mark shapes.,,toast fragment,plural
fontmaker.status.import_set_nikkud,"Set nikkud, then export.",,toast fragment,
fontmaker.status.import_turn_on_trop,Turn on Trop to use its cantillation marks.,,toast fragment,
fontmaker.status.imported_svg,Imported SVG for {name}.,,toast,
fontmaker.status.importing_font,Importing font…,,toast,
fontmaker.status.installing_fonttools,Installing fontTools…,,toast,
fontmaker.status.kept_points.one,Kept {count} point — a contour needs at least 3. Use Delete contour (Shift+Delete) to remove the whole contour.,,toast,plural
fontmaker.status.kept_points.other,Kept {count} points — a contour needs at least 3. Use Delete contour (Shift+Delete) to remove the whole contour.,,toast,plural
fontmaker.status.kern_class_saved,Kern class saved.,,toast,
fontmaker.status.load_svg_first,Load an SVG sheet first.,,toast,
fontmaker.status.loaded_image,Loaded image for {name}.,,toast,
fontmaker.status.loaded_named,Loaded “{name}”.,,toast,
fontmaker.status.loading_engine,Loading font engine (one-time ~8 MB)…,,toast,
fontmaker.status.lt_anchored,anchors placed,,tile status word,glyph-name/do-not-translate the single-char badge (A)
fontmaker.status.lt_img,"image uploaded, not traced",,tile status word,glyph-name/do-not-translate the single-char badge (I)
fontmaker.status.lt_inherited,placement carried over — review & confirm,,tile status word,glyph-name/do-not-translate the single-char badge (✓)
fontmaker.status.lt_not_started,not started,,tile status word fallback,
fontmaker.status.lt_saved,placement confirmed,,tile status word,glyph-name/do-not-translate the single-char badge (✓)
fontmaker.status.lt_traced,traced,,tile status word,glyph-name/do-not-translate the single-char badge (T)
fontmaker.status.lt_unconfirmed,placement unconfirmed — review & confirm,,tile status word,glyph-name/do-not-translate the single-char badge (!)
fontmaker.status.mark_design_here,"Design this mark from an image here, then return to placing nikkud.",,toast,
fontmaker.status.mark_sheet_loaded,"{label} sheet loaded. Pick a symbol, then drag a box around it.",,toast,
fontmaker.status.new_project,New project.,,toast,
fontmaker.status.no_boxes_assigned,No boxes are assigned to letters — nothing to apply.,,toast,
fontmaker.status.no_compression,This browser can't open compressed projects.,,toast,
fontmaker.status.no_ink,No ink detected — adjust threshold / invert.,,toast,
fontmaker.status.no_new_pairs,"No new pairs need adjusting — trace more letters, lengthen the sample, or change Auto-tightness.",,toast,
fontmaker.status.no_outline_to_copy,No other letters have a traced outline to copy yet.,,toast,
fontmaker.status.no_specks,No specks found — every contour is at least 1% of the largest.,,toast,
fontmaker.status.no_specks_one_contour,No specks found — the glyph has only one contour.,,toast,
fontmaker.status.no_svg_matched,"No SVG elements matched a letter name. Box each letter by hand, or name elements like id=""uni05D0"".",,toast,html
fontmaker.status.no_vector_in_box,No vector shapes inside that box — drag around a letter.,,toast,
fontmaker.status.not_fontmaker_file,Not a Font Maker project file.,,toast,
fontmaker.status.not_valid_project,Not a valid project file.,,toast,
fontmaker.status.nothing_selected,Nothing selected — import cancelled.,,toast,
fontmaker.status.open_create_first,Open or create a project first.,,toast,
fontmaker.status.outline_cleared,{name}: outline cleared — re-trace or upload to start again.,,toast,
fontmaker.status.pasted_contours.one,Pasted {count} contour.,,toast,plural
fontmaker.status.pasted_contours.other,Pasted {count} contours.,,toast,plural
fontmaker.status.pen_min_points,"Place at least 3 points, then click the first point (or press Enter) to close.",,toast,
fontmaker.status.pick_class_letter,Pick at least one letter for the class.,,toast,
fontmaker.status.pick_glyph_side,Pick a glyph or class for each side.,,toast,
fontmaker.status.pick_traced_outline,Pick a letter that has a traced outline.,,toast,
fontmaker.status.placement_confirmed,Placement confirmed for {name} ✓,,toast,leading-emoji
fontmaker.status.preparing_letters,Preparing {i} / {total} letters…,,toast,
fontmaker.status.preview_pdf_saved,Preview PDF saved.,,toast,
fontmaker.status.project_loaded,Project loaded.,,toast,
fontmaker.status.project_saved_computer,Project saved to your computer (.hebrewfont).,,toast,
fontmaker.status.project_saved_computer2,Project saved to your computer.,,toast,
fontmaker.status.reading_anchors,Reading anchor positions…,,toast,
fontmaker.status.reading_font,Reading font…,,toast,
fontmaker.status.removed_specks.one,Removed {count} speck contour.,,toast,plural
fontmaker.status.removed_specks.other,Removed {count} speck contours.,,toast,plural
fontmaker.status.reopened_recent,Reopened your most recent work.,,toast,
fontmaker.status.saved_browser,Saved in this browser ✓  ·  reopen from Load Project ▾ → Recent,,toast,leading-emoji
fontmaker.status.saved_myfonts,Saved “{name}” to My Fonts ✓,,toast,leading-emoji
fontmaker.status.set_anchors_first,Set the nikkud anchors first.,,toast,
fontmaker.status.sheet_not_loaded,Sheet image is not loaded.,,toast,
fontmaker.status.sheet_removed,Sheet removed.,,toast,
fontmaker.status.smoothed.one,Smoothed {count} corner,,toast,plural
fontmaker.status.smoothed.other,Smoothed {count} corners,,toast,plural
fontmaker.status.smoothed_skipped,", skipped {count} (too tight for this radius).",,toast fragment,
fontmaker.status.starting_export,Starting export…,,toast,
fontmaker.status.svg_sheet_loaded,"SVG sheet loaded. Drag a box around a letter, or name elements like id=""uni05D0"" and click Auto-split by name.",,toast,html
fontmaker.status.template_font_loaded,Template font “{name}” loaded.,,toast,
fontmaker.status.tile_aria,{name} — {status},,tile aria-label,aria-label only
