Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
כּוֹבַע טֶמְבֵּל,kóva-témbel,noun,"A bucket hat of a particular type: cloth, round, bowl-like, with an even brim all around: was popular among Israeli Jews until the 1970s, particularly among kibbutzniks and members of youth movements.",,
כּוֹבַע טֶמְבֵּל,kóva-témbel,noun,Any bucket hat.,,
כּוֹבַע יָם,kóva yam,noun,swim cap,,
כּוֹבַע מִצְחִיָּה,kóva mitskhiyá,noun,baseball cap,,
כּוֹהֵן,kohén,noun,"A Jewish priest, a cohen or kohen: a patrilineal descendant of the Biblical Aaron.",,
כּוֹהֵן,kohén,noun,"The first aliyah, traditionally reserved for a cohen if one is present.",,
כּוֹהֵן,kohen,proper noun,"a surname originating as an occupation, Cohen",,
כּוֹכַב חַמָּה,kokháv khamá,proper noun,Mercury,,
כּוֹכַב יָם,kokháv yám,noun,starfish,,
כּוֹכַב לֶכֶת,kokháv lékhet,noun,planet,,
כּוֹכַב שָׁבִיט,kokháv shavít,noun,comet,,
כּוֹכָב,kokháv,noun,star,,
כּוֹכָבִית,kokhavít,noun,asterisk,,
כּוֹלֵל,kolél,adjective,Compound: having multiple clauses.,,
כּוֹלֵל,kolél,adjective,Including.,,
כּוֹלֵל,kolél,adjective,Inclusive.,,
כּוֹלֵל,kólel,noun,"A community, a collective.",,
כּוֹלֵל,kólel,noun,kollel,,Judaism
כּוֹלֶסְטֶרוֹל,kolésterol,noun,Cholesterol.,,
כּוֹנֵן,konén,verb,"to establish, build",,
כּוֹנָן,konán,noun,disk drive,,
כּוֹנָן,konán,noun,someone who is on call (such as a doctor or technician),,
כּוֹנָן,konán,noun,"stand, rack",,
כּוֹנָן קָשִׁיחַ,konan kashíakh,noun,hard disk,,
כּוֹנָנִית,konanít,noun,set of shelves,,
כּוֹס,kos,noun,cup,,
כּוֹס,kos,noun,cup / goblet,Both,
כּוֹס,kos,noun,glass,,
כּוֹס,kos,noun,"little owl (a species of small European owl, Athene noctua)",,
כּוֹר,kor,noun,A biblical measure of weight equal to 10 ephah.,,
כּוֹרֵת,korét,noun,a woodcutter,Biblical,
כּוֹרֵת עֵצִים,korét 'etsím,noun,a lumberjack,,
כּוֹרֶשׁ,kóresh,proper noun,Cyrus (ancient king of Persia),,
כּוֹתֵב,kotév,noun,A (male) writer or author.,,
כּוֹתֶרֶת,kotéret,noun,capital,,
כּוֹתֶרֶת,kotéret,noun,headline,,
כּוֹתֶרֶת,kotéret,noun,"title, heading",,
כּוּזָר,kuzár,noun,Khazars (collectively),,
כּוּזָרִי,kuzarí,noun,Khazar,,
כּוּמָז,kumáz,noun,"some kind of ornament or jewellery. Further details are uncertain. If related to Arabic كمز, it could mean a necklace or pendant in the shape of a circle or made of small balls.",Biblical,
כּוּן,kun,root,was established / prepared,Biblical,hollow root
כּוּס,kus,noun,A pussy (vagina).,,slang; vulgar
כּוּסְכּוּס,kuskus,noun,couscous,,
כּוּסִית,kúsit,noun,A sexy woman.,,vulgar
כּוּר,kur,noun,A furnace for melting metals.,Biblical,
כּוּר,kur,noun,A nuclear reactor.,Modern,
כּוּר,kur,noun,Used figuratively.,,
כּוּרְדִּיסְטָן,kurdistan,proper noun,"Kurdistan (a cultural region in West Asia inhabited mostly by the Kurds, encompassing parts of Turkey, Iraq, Iran and Syria)",,
כּוּרְדִּיסְטָן,kurdistan,proper noun,"Kurdistan (a province in northwestern Iran, lying within the aforementioned Kurdish-majority region)",,
כּוּרְדִּיסְטָן,kurdistan,proper noun,"Kurdistan (an autonomous region in northern and northeastern Iraq, lying within the aforementioned Kurdish-majority region)",,
כּוּרְדִּית,kúrdit,proper noun,"Kurdish (family of Indo-Iranian languages of Kurdistan (in the Mesopotamia region, from the Zagros of mid-western Iran to the eastern extension of the chain of the Taurus Mountains))",,
כּוּרְדִּית,kúrdit,proper noun,Neo-Aramaic spoken by Kurdish Jews,,
כּוּשִׁי,kúshi,adjective,"Cushite, Kushite: of, from, or pertaining to Cush in ancient northeastern Africa.",,
כּוּשִׁי,kushí,adjective,"negro, Black: of or roughly resembling black people.",,
כּוּשִׁי,kushí,noun,"A (male) Kushite, Cushite.",,
כּוּשִׁי,kúshi,noun,"negro, a (male) black person.",,
כּוּשׁ,kúsh,proper noun,"Cush (the son of Ham, grandson of Noah, and supposed progenitor of the African peoples)",,
כּוּשׁ,kúsh,proper noun,a Benjamite mentioned only in the title of Psalm 7,,
כּוּשׁ,kúsh,proper noun,"the land occupied by the descendants of Cush located around the middle Nile, Ethiopia, Somalia",,
כּוּשׁ,kúsh,proper noun,"the peoples descended from Cush, Ethiopians, Somalis, black Africans",,
כּוּתִי,kutí,noun,"Cuthaean, someone from the city of Cutha in Mesopotamia",,
כּוּתִי,kutí,noun,Samaritan,,
כ־א־ב,k-ʾ-b,root,"Related to pain, suffering, aching.",,
כ־ב־ד,k-b-d,root,The liver.,,
כ־ב־ד,k-b-d,root,To be heavy or weighty; to be serious.,,
כ־ב־ד,k-b-d,root,To be honored and respected.,,
כ־ב־ד,k-b-d,root,"To burden, sadden, or anger; to cause intense emotional states.",,
כ־ו־ן,k-w-n,root,"Forming words relating to firmness, establishment.",,
כ־ו־ן,k-w-n,root,"Forming words relating to straightness, direction.",,
כ־נ־ס,k-n-s,root,"Forming words relating to assembly, congregation, gathering or meeting.",,
כ־נ־ע,k-n-ʿ,root,Forming words pertaining to bringing lower (chiefly figuratively).,,
כ־ס־ה,k-s-h,root,"Forming words relating to hiding, concealing and covering.",,
כ־פ־ל,k-p-l,root,"Related to doubling, multiplication.",,
כ־ר־ז,k-r-z,root,"Related to announcing, preaching, declaring, proclaiming",,
כ־שׁ־ל,k-sh-l,root,Related to stumbling.,,
כ־שׁ־ר,k-sh-r,root,Related to preparation,,
כ־שׁ־ר,k-sh-r,root,"Related to propriety, suitability.",,
כ־ת־ב,k-t-b,root,Forming words pertaining to writing.,,
כׇּלְשֶׁהוּ,kólshehu,pronoun,"any, whatsoever",,
כאפה,káfa,noun,"smack, slap",,slang
כאראג׳,karaj,proper noun,"Karaj (a city in Iran, the seat of Karaj County's Central District and the capital of Alborz Province)",,
כדורעף חופים,kadur'af khofim,noun,beach volleyball,,
כוֹחוֹת הביטחון,kokhót habitakhón,noun,security forces,,
כוֹרֵיאוֹגְרַפְיָה,khore'ográfya,noun,choreography,,
כווית סיטי,,proper noun,Kuwait City (the capital city of Kuwait),,
כוזו במוכסז כוזו,,proper noun,"A 14-lettered form of the Shem HaMephorash, esoteric names of God within Kabbalah.",,Judaism
כולרה,kolera,noun,cholera,,
כוס אמכ,kus 'emmek,interjection,"fucking hell, god dammit, damn you",,slang; vulgar
כוץ,,adjective,annoying person,,
כטב״ם,"KaTBa""M",noun,drone (unmanned aircraft),,
כטמ״ם,"KaTMa""M",noun,drone (unmanned aircraft),,
כל עוד,kol od,adverb,"As long, for as long.",,
כל עוד,kol od,conjunction,"As long as, for as long as.",,
כמו ג׳וקים מסוממים,k'mó jukím mĕsumamím,phrase,addleheaded and panic-stricken (at the same time),,colloquial
כרמאנשאה,kermanshah,proper noun,"Kermanshah (a city in Iran, the seat of Kermanshah County's Central District and the capital of Kermanshah Province)",,
כ״ג,-,numeral,23,,
ל,lamedh,noun,The third letter of a verb root; so called because it's the third letter of the word פעל.,,
לְ,le,preposition,to / for,Both,inseparable prefix
לְ יֶתֶר דִּיּוּק,l'yéter diyúk,phrase,to be precise,,
לְ עֵת עַתָּה,l'et 'atá,adverb,"for the moment, in the meantime",,
לְ עוֹלָם וָ עֶד,l'olám va'éd,adverb,for ever and ever,Biblical,
לְ־,l'-,particle,To; the first part of a to-infinitive.,,
לְ־,l'-,preposition,Before: indicating the number of years before which a fraction of a year is specified.,,slang
לְ־,l'-,preposition,"For, according to, in the opinion of; indicating the holder of a viewpoint, or the source of a claim.",,
לְ־,l'-,preposition,Indicating the addressee of an utterance.,,
לְ־,l'-,preposition,Indicating the beneficiary of an action.,,
לְ־,l'-,preposition,Indicating the destination of movement.,,
לְ־,l'-,preposition,Indicating the person or thing affected by an action.,,
לְ־,l'-,preposition,Indicating the recipient of a transfer.,,
לְ־,l'-,preposition,Indicating the result of a transformation.,,
לְ־,l'-,preposition,Indicating the second end-point of a range or interval.,,
לְ־,l'-,preposition,Indicating the theme of an impersonal verb or other impersonal predicate.,,
לְ־,l'-,preposition,"Introducing an ethical dative, especially after a verb of motion.",,
לְ־,l'-,preposition,"Of, to, before: indicating the hour before which a number of minutes or fraction of an hour is specified.",,
לְ־,l'-,preposition,Of; indicating a possessor.,,
לְ־,l'-,preposition,Of; indicating the reference-point relative to which a direction may be specified.,,
לְ־,l'-,preposition,"To, for; corresponding to an English indirect object or a Latin dative.",,
לְ־,l'-,preposition,"To, into; indicating a result.",,
לְ־,l'-,preposition,To; indicating a destination or end-point.,,
לְ־,l'-,preposition,"Used as a bare predicate, with no copula.",Biblical,archaic
לְ־,l'-,preposition,Used with a form of הָיָה (hayá).,,
לְ־,l'-,preposition,"Used with another verb, indicating the possessor of another object of the verb.",,
לְ־,l'-,preposition,Used with יֵשׁ (yesh) or (for non-possession) אֵין (en).,,
לְאַוְרֵר,l'avrér,verb,to-infinitive of אִוְרֵר (ivrér).,,
לְאַחַר,l'akhár,preposition,"After, at a later time than.",,
לְאַחַר כָּךְ,l'akhár kakh,adverb,"After, afterward, afterwards, later.",,
לְאַחַר מִכֵּן,l'akhár mikén,adverb,afterward,,
לְאַט,l'át,adverb,slowly,,
לְאַט לְאַט,l'át l'át,adverb,slowly,,
לְאַשֵּׁר,l'ashér,verb,to-infinitive of אישר / אִשֵּׁר (ishér).,,
לְאָחוֹר,l'akhór,adverb,"backwards, astern",,
לְאָן,l'án,adverb,"Whither; to what place, where.",,
לְאֹם,l'óm,noun,"nation, people",Biblical,
לְאֹם,l'óm,noun,nationality,,
לְאֻמִּי,l'umí,adjective,"National: of a nation, or of nations.",,
לְאֻמִּיּוּת,l'umiyút,noun,nationalism,,
לְאֻמָּן,le'umán,noun,nationalist; chauvinist,,
לְאֻמָּנוּת,l'umanút,noun,jingoism (aggressive nationalism),,
לְאֻמָּנוּת,l'umanút,noun,nationalism,,
לְאוֹר־,l'ór-,preposition,"In light of: given, considering.",,
לְבִיאָה,l'vi'á,noun,lioness,,
לְבִיבָה,levivá,noun,"potato pancake, latke",,
לְבֵנָה,l'vená,noun,brick,,
לְבַד,levád,adverb,"Alone, apart, not together, on one's own.",,Judg 7:5
לְבַד,levád,adverb,"Alone, sole, only.",,Gen 2:18
לְבַכּוֹת,l'vakót,verb,to-infinitive of ביכה / בִּכָּה (biká).,,
לְבַלְבֵּל,l'valbél,verb,to-infinitive of בִּלְבֵּל (bilbél),,
לְבַנְבַּן,l'vanban,adjective,whitish,,
לְבַסֵּס,levasés,verb,To-infinitive of ביסס (bisés),,
לְבַסּוֹף,levasóf,adverb,finally,,
לְבַקֵּשׁ,l'vakésh,verb,to-infinitive of ביקש / בִּקֵּשׁ (bikésh).,,
לְבָנִים,l'vaním,adjective,underwear,,
לְבָנָה,l'vaná,noun,moon,,poetic
לְבָנָה,l'vána,proper noun,"a female given name, Levana, equivalent to English Luna",,
לְבָנוֹן,l'vanón,proper noun,Lebanon (a country in West Asia in the Middle East),,
לְבָנוֹנִי,l'vanóni,adjective,Lebanese,,
לְבָרֵךְ,l'varékh,verb,to-infinitive of ברך (berákh).,,
לְבוּשׁ,l'vúsh,noun,clothing,,
לְגַבֵּי,l'gabé,preposition,"About, regarding, in connection with, with respect to.",,
לְגַלּוֹת,l'galót,verb,to-infinitive of גִּלָּה (gilá).,,
לְגַמְרֵי,legámre,adverb,"totally, completely, entirely",,
לְדַבֵּר,l'dabér,verb,To-infinitive of דיבר (dibér),,
לְדַעַת־,l'dá'at-,preposition,according to; in one's opinion; in the opinion of,,
לְהִגָּמֵר,l'higamér,verb,to-infinitive of נגמר (nigmár).,,
לְהִיטוּת,l'hitút,noun,eagerness,,
לְהִלָּחֵם,l'hilakhém,verb,"to-infinitive of נלחם (nilkhám), excessive spelling.",,
לְהִתְוַכֵּח,l'hitvakéach,verb,"to-infinitive of התווכח / הִתְוַכֵּחַ (hitvakéach): to argue, to debate, to quarrel.",,
לְהִתְפַּשֵּׁט,l'hitpashét,verb,to-infinitive of התפשט (hitpashét).,,
לְהִתְרָאוֹת,l'hitra'ót,interjection,"Goodbye, bye, see you later.",,
לְהִתְרָאוֹת,l'hitra'ót,verb,to-infinitive of התראה (hitra'á).,,
לְהֶפֶךְ,l'héfekh,adverb,"on the contrary, vice versa, contrariwise, au contraire",,
לְהַכְעִיס,l'hakh'ís,verb,to-infinitive of הִכְעִיס (hikh'ís),,
לְהַסְכִּים,l'haskím,verb,to-infinitive of הִסְכִּים (hiskím).,,
לְהַעֲלֹתוֹ,l'ha'alotó,verb,"To-infinitive of הֶעֱלָה (he'elá), with a third-person masculine singular pronoun suffixed as direct object",Biblical,
לְהַפְרִיעַ,l'hafría,verb,to-infinitive of הפריע (hifría).,,
לְהַצְלִיחַ,l'hatslíach,verb,to-infinitive of הִצְלִיחַ (hitslíach).,,
לְהַצִּילוֹ,l'hatsiló,verb,"To-infinitive of הִצִּיל (hitsíl), with a third-person masculine singular pronoun suffixed as direct object",Biblical,
לְהַשְׁווֹת,l'hashvót,verb,To-infinitive of השווה / הִשְׁוָה,,
לְהַשְׁלִיךְ,l'hashlíkh,verb,to-infinitive of השליך (hishlíkh).,,
לְהָרְגֵנִי,l'horgéni,verb,"To-infinitive of הָרַג (harág), with a first-person singular pronoun suffixed as direct object: to kill me",,
לְהָרִיחַ,l'haríakh,verb,to-infinitive of הריח (heríakh).,,
לְהָרִים,l'harím,verb,to-infinitive of הֵרִים (herím).,,
לְהוֹלִיד,l'holíd,verb,to-infinitive of הוֹלִיד (holíd).,,
לְוָיָה,l'vayá,noun,funeral,,
לְזַהוֹת,lezahót,verb,to-infinitive of זיהה / זִהָה (zihá).,,
לְחִי,lekhí,noun,cheek,,
לְחִי,lekhí,noun,doorpost,,
לְחִי,lekhí,noun,jaw (of a tool),Biblical,
לְחִימָה,l'khimá,noun,fighting,,
לְחִישָׁה,l'khishá,noun,whisper,,
לְחַבֵּל,l'khabél,verb,to-infinitive of חיבל / חִבֵּל (khibél),,
לְחַיִּים,lekhayím,phrase,"A blessing, a toast, and an expression of goodwill.",,
לְחַיֵּךְ,l'khayékh,verb,to-infinitive of חייך / חִיֵּךְ,,
לְחַפֵּשׂ,l'khapés,verb,To-infinitive of חיפש (khipés),,
לְחוּד,l'khúd,adverb,separately,,
לְטָאָה,leta'á,noun,lizard,Biblical,
לְיַד־,l'yád-,preposition,"Beside, near, by, near to, next to, adjacent to, alongside.",,
לְיָד,l'yád,prepositional phrase,"Near, nearby, next, adjacent, alongside.",,
לְיָמִים,l'yamím,adverb,"in time, eventually",,
לְיוּבְּלְיָאנָה,lyublyana,proper noun,Ljubljana (the capital city of Slovenia),,
לְכָאן,lekhán,adverb,"Hither, (to) here, over (to) here.",,
לְכָל הַיּוֹתֵר,lekhól hayotér,prepositional phrase,at most,,
לְכָל שַׁבָּת יֵשׁ מוֹצָאֵי שַׁבָּת,lekhól shabát yesh motza'é shabát,phrase,everything comes in due time,,
לְלַמֵּד,l'laméd,verb,to-infinitive of לימד / לִמֵּד (liméd).,,
לְלֹא,l'ló,preposition,without,,
לְלֹא עוֹרְרִין,l'ló or'rín,phrase,"undoubtedly, indisputably",,
לְלֹא תְּנַאי,l'lo t'nai,adjective,unconditional,,
לְמִידָה,l'midá,noun,"learning, studying",,
לְמַדַּי,l'madáy,adverb,"quite, pretty, fairly, reasonably, sufficiently, rather",,
לְמַטָּה,lemáta,adverb,"below, hereafter (referring to text that comes later)",,
לְמַטָּה,lemáta,adverb,"down there, downstairs",,
לְמַטָּה,lemáta,adverb,"down, downward",,
לְמַטָּה,lemáta,adverb,in this world (as opposed to the next world),,
לְמַטָּה,lemáta,adverb,"less than, under (a certain number)",,
לְמַעְלָה,l'mála,adverb,"above, aforementioned (referring to text that came before)",,
לְמַעְלָה,l'mála,adverb,in heaven,,
לְמַעְלָה,l'mála,adverb,"more than, over (a certain number)",,
לְמַעְלָה,l'mála,adverb,"up there, above, upstairs",,
לְמַעְלָה,l'mála,adverb,"up, upward",,
לְמַעֲשֶׂה,l'ma'asé,adverb,"in fact, actually",,
לְמַעֵט,l'ma'ét,conjunction,except for,,
לְמַעַן,lemá'an,preposition,For the sake (benefit or regard) of (a person or thing).,,Isa 37:35
לְמַעַן,lemá'an,preposition,With the intent or purpose of (a result).,,Exod 1:11
לְמַעַן הַשֵּׁם !,lemá'an hashém,interjection,"for God's sake (exclamation of surprise, impatience, etc)",,
